Date,AAPL,MSFT,AMZN,GOOGL,TSLA,META,JNJ,BAC,XOM,WMT
2016-12-14,26.54961395263672,56.494808197021484,38.441001892089844,40.614383697509766,13.246000289916992,119.4734878540039,90.20651245117188,18.58950424194336,61.0456428527832,20.4368839263916
2016-12-15,26.69482421875,56.40468978881836,38.04999923706055,40.50314712524414,13.17199993133545,119.8312759399414,90.91251373291016,18.991304397583008,61.25456237792969,20.36240577697754
2016-12-16,26.729394912719727,56.15231704711914,37.88850021362305,40.21463394165039,13.499333381652832,119.13556671142578,90.9046859741211,18.581310272216797,61.449981689453125,20.333757400512695
2016-12-19,26.88381576538086,57.342063903808594,38.29999923706055,40.34672164916992,13.51533317565918,118.50941467285156,91.0145034790039,18.43370246887207,60.93779373168945,20.505645751953125
2016-12-20,26.955272674560547,57.26995086669922,38.56100082397461,40.48079299926758,13.919333457946777,118.36033630371094,90.73210906982422,18.6223087310791,60.94454574584961,20.574399948120117
2016-12-21,26.980627059936523,57.26995086669922,38.529998779296875,40.331825256347656,13.846667289733887,118.31065368652344,90.45752716064453,18.556703567504883,60.84348678588867,20.40824317932129
2016-12-22,26.803157806396484,57.27896499633789,38.31700134277344,40.20669174194336,13.896666526794434,116.68069458007812,90.55953216552734,18.482900619506836,61.241085052490234,19.93556785583496
2016-12-23,26.856163024902344,56.99955749511719,38.02949905395508,40.113338470458984,14.22266674041748,116.55149841308594,90.96743774414062,18.532100677490234,61.133243560791016,19.921245574951172
2016-12-27,27.0267276763916,57.035606384277344,38.56999969482422,40.2191047668457,14.635333061218262,117.2869644165039,90.92822265625,18.540306091308594,61.160213470458984,19.967077255249023
2016-12-28,26.911479949951172,56.77423095703125,38.60649871826172,39.95294189453125,14.649333000183105,116.2036361694336,90.29279327392578,18.310705184936523,60.85694122314453,19.855348587036133
2016-12-29,26.90456199645996,56.69309997558594,38.25749969482422,39.869014739990234,14.312000274658203,115.63713073730469,90.59876251220703,18.04010009765625,60.89065170288086,19.841028213500977
2016-12-30,26.69482421875,56.00809860229492,37.493499755859375,39.35110092163086,14.246000289916992,114.34510040283203,90.37908172607422,18.122106552124023,60.82997512817383,19.80092430114746
2017-01-03,26.770883560180664,56.40468978881836,37.68349838256836,40.12376022338867,14.465999603271484,116.1440200805664,90.873291015625,18.47470474243164,61.25456237792969,19.669145584106445
2017-01-04,26.74091911315918,56.15231704711914,37.85900115966797,40.11184310913086,15.13266658782959,117.9627914428711,90.7242660522461,18.819107055664062,60.580623626708984,19.783735275268555
2017-01-05,26.876909255981445,56.15231704711914,39.022499084472656,40.37255096435547,15.116666793823242,119.93065643310547,91.67346954345703,18.597707748413086,59.67755889892578,19.82670783996582
2017-01-06,27.176538467407227,56.63902282714844,39.79949951171875,40.97787094116211,15.267333030700684,122.65387725830078,91.23418426513672,18.597707748413086,59.64384460449219,19.554555892944336
2017-01-09,27.425457000732422,56.45875930786133,39.84600067138672,41.07569885253906,15.41866683959961,124.13475799560547,91.21846771240234,18.491107940673828,58.6599006652832,19.6834716796875
2017-01-10,27.453123092651367,56.44071960449219,39.79499816894531,41.01759719848633,15.324666976928711,123.58811950683594,91.12433624267578,18.810903549194336,57.91182327270508,19.545955657958984
2017-01-11,27.60062599182129,56.954490661621094,39.95100021362305,41.208778381347656,15.315333366394043,125.31745147705078,90.0025634765625,18.917505264282227,58.504886627197266,19.63190460205078
2017-01-12,27.485389709472656,56.43172836303711,40.68199920654297,41.1923942565918,15.305999755859375,125.84420776367188,89.91626739501953,18.794506072998047,58.18812561035156,19.471481323242188
2017-01-13,27.43698501586914,56.51284408569336,40.856998443603516,41.26240539550781,15.850000381469727,127.55366516113281,89.90055847167969,18.868305206298828,58.19487380981445,19.23084259033203
